"reason_text","person_record_id","kanali_username","submitted_id","status","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Ήδη ήταν Ψήφισε = ΝΑΙ","6a6d45cd1b095cfff2d1dc71","kanali_a10","067058","ALREADY_VOTED","6a6e1d35ef2f3afb64f97f15","2026-08-01T16:22:13.328000","2026-08-01T16:22:13.328000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Η ψήφος καταχωρήθηκε επιτυχώς","6a6d4625deac790ae77c4e4f","kanali_a10","050920","MARKED_VOTED","6a6e1d2d84eb7bab0b0123c5","2026-08-01T16:22:05.466000","2026-08-01T16:22:05.466000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Η ψήφος καταχωρήθηκε επιτυχώς","6a6d45cd1b095cfff2d1dc71","kanali_a10","067058","MARKED_VOTED","6a6e1d21467f2af3902bdf08","2026-08-01T16:21:53.756000","2026-08-01T16:21:53.756000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Η ψήφος καταχωρήθηκε επιτυχώς","6a6d45ca7d64736f7a9c29f8","kanali_a10","049909","MARKED_VOTED","6a6e1c3df462513ae7f3dc67","2026-08-01T16:18:05.555000","2026-08-01T16:18:05.555000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Η ψήφος καταχωρήθηκε επιτυχώς","6a6d45cee00325afa67759a8","kanali_a10","053275","MARKED_VOTED","6a6e1c0588aac10f43deb2bd","2026-08-01T16:17:09.514000","2026-08-01T16:17:09.514000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Η ψήφος καταχωρήθηκε επιτυχώς","6a6d463c14874b8647c2c5f7","kanali_a10","079497","MARKED_VOTED","6a6e1bfdf8a0f56bf6ffac7f","2026-08-01T16:17:01.635000","2026-08-01T16:17:01.635000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Η ψήφος καταχωρήθηκε επιτυχώς","6a6d4612e6d724beaaa41563","kanali_a10","075622","MARKED_VOTED","6a6e1bf5401c33afc899b8de","2026-08-01T16:16:53.645000","2026-08-01T16:16:53.645000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Η ψήφος καταχωρήθηκε επιτυχώς","6a6d4610a570dffba210ffed","kanali_a10","046224","MARKED_VOTED","6a6e1be21abc642be6754dd9","2026-08-01T16:16:34.419000","2026-08-01T16:16:34.419000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Η ψήφος καταχωρήθηκε επιτυχώς","6a6d45ca7d64736f7a9c29ec","kanali_a10","026462","MARKED_VOTED","6a6e1bda8751fc42a4d98378","2026-08-01T16:16:26.619000","2026-08-01T16:16:26.619000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Η ψήφος καταχωρήθηκε επιτυχώς","6a6d460f81468c4cc01e3382","kanali_a10","065470","MARKED_VOTED","6a6e1bc66a6ae3dc51e5ae8c","2026-08-01T16:16:06.339000","2026-08-01T16:16:06.339000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
