"actor_user_id","old_status","action_type","new_status","target_user_id","target_role","actor_role","timestamp","id","created_date","updated_date","created_by_id","created_by","is_sample"
"698e4633b5db63006c72dbb5","false","activate","true","6a6d3a25fec6316407c6f10a","ORGANOTIKI","ADMIN","2026-08-01T00:13:29.927Z","6a6d3a2a5afdac2cafcdecdc","2026-08-01T00:13:30.112000","2026-08-01T00:13:30.112000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","6a6cf00d0c51ea59720478fc","ORGANOTIKI","ADMIN","2026-07-31T18:57:21.555Z","6a6cf01149f86d5604b99b4d","2026-07-31T18:57:21.686000","2026-07-31T18:57:21.686000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","6990f646425a2ba3f9ab756f","ORGANOTIKI","ADMIN","2026-03-19T22:12:33.816Z","69bc74d263ee247e66d05bfb","2026-03-19T22:12:34.009000","2026-03-19T22:12:34.009000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","true","deactivate","false","6990f646425a2ba3f9ab756f","ORGANOTIKI","ADMIN","2026-03-19T22:12:27.817Z","69bc74cb221f4b747a763f0b","2026-03-19T22:12:27.973000","2026-03-19T22:12:27.973000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","true","deactivate","false","699207eb8a1b36061704ca95","ORGANOTIKI","ADMIN","2026-03-19T22:12:21.795Z","69bc74c55f92807d26c2a9e2","2026-03-19T22:12:21.993000","2026-03-19T22:12:21.993000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","true","deactivate","false","699641041bbca712487e771a","ORGANOTIKI","ADMIN","2026-03-19T22:12:17.549Z","69bc74c1aa6812dfce3211d5","2026-03-19T22:12:17.690000","2026-03-19T22:12:17.690000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","true","deactivate","false","69a73f8d41043f5ad2e24001","ORGANOTIKI","ADMIN","2026-03-19T22:12:14.680Z","69bc74be784fd44bd816cc10","2026-03-19T22:12:14.824000","2026-03-19T22:12:14.824000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","true","deactivate","false","69a740bfda763c6e8cbe8734","ORGANOTIKI","ADMIN","2026-03-19T22:12:11.468Z","69bc74bbafc5ba0805edef69","2026-03-19T22:12:11.613000","2026-03-19T22:12:11.614000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","false","activate","true","69a740bfda763c6e8cbe8734","ORGANOTIKI","ADMIN","2026-03-03T20:12:55.658Z","69a740c7183867a79559dd8f","2026-03-03T20:12:55.777000","2026-03-03T20:12:55.777000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"698e4633b5db63006c72dbb5","true","deactivate","false","69a0cf24bc2a16e605511378","ORGANOTIKI","ADMIN","2026-03-03T20:11:23.686Z","69a7406b57cb7dc3a0938e79","2026-03-03T20:11:23.811000","2026-03-03T20:11:23.811000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
